                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.45214,                0.43703,                0.89689,                0.99696,                0.99212,                 0.9944,                0.83903,                0.51032,                0.33392,                0.89655,              0.0095149,              0.0095149,              0.0095149
                     51,                0.44829,                0.42173,                0.89958,                0.99512,                0.99242,                0.99311,                0.83962,                0.47284,                0.33419,                0.88998,               0.009505,               0.009505,               0.009505
                     52,                0.42627,                0.42478,                 0.9048,                0.99642,                0.99242,                0.99478,                0.84526,                0.46096,                0.31362,                0.88868,              0.0094951,              0.0094951,              0.0094951
                     53,                0.43099,                0.42046,                0.89675,                0.99492,                0.99242,                0.99478,                0.79277,                0.54532,                0.35773,                0.90223,              0.0094852,              0.0094852,              0.0094852
                     54,                 0.4372,                 0.4133,                0.89901,                0.98996,                0.99242,                0.99434,                0.83042,                0.49677,                0.32307,                0.89034,              0.0094753,              0.0094753,              0.0094753
                     55,                0.43668,                0.41715,                0.88873,                0.99558,                0.99955,                  0.995,                0.82597,                0.54149,                0.32978,                0.89507,              0.0094654,              0.0094654,              0.0094654
                     56,                0.41715,                0.40381,                0.89821,                0.99451,                0.99924,                  0.995,                0.80823,                0.57297,                0.37976,                0.91409,              0.0094555,              0.0094555,              0.0094555
                     57,                0.40431,                0.41112,                0.88015,                0.99523,                 0.9919,                0.99446,                0.78192,                0.58875,                0.42204,                0.91483,              0.0094456,              0.0094456,              0.0094456
                     58,                0.44507,                 0.4103,                0.90303,                0.98647,                      1,                 0.9947,                 0.8385,                0.55861,                0.39212,                0.91116,              0.0094357,              0.0094357,              0.0094357
                     59,                0.42317,                0.42689,                0.90055,                0.99615,                0.99692,                  0.995,                0.83005,                0.49499,                0.33001,                0.88995,              0.0094258,              0.0094258,              0.0094258
                     60,                 0.4259,                0.37827,                0.88077,                0.99702,                0.99045,                0.99493,                0.82353,                0.51947,                0.34731,                0.89394,              0.0094159,              0.0094159,              0.0094159
                     61,                0.42174,                0.39168,                0.89453,                 0.9954,                0.99238,                 0.9944,                0.84768,                0.47566,                0.36976,                0.88741,               0.009406,               0.009406,               0.009406
                     62,                0.43544,                 0.4056,                0.88756,                0.98923,                0.99242,                0.99414,                0.83543,                0.48258,                0.32311,                0.88811,              0.0093961,              0.0093961,              0.0093961
                     63,                0.42566,                0.41455,                0.88512,                0.99686,                0.99242,                0.99434,                0.83568,                0.49214,                0.32455,                0.88742,              0.0093862,              0.0093862,              0.0093862
                     64,                0.43452,                0.41141,                0.88698,                0.99695,                0.99242,                0.99004,                0.81915,                0.61516,                0.40255,                0.93583,              0.0093763,              0.0093763,              0.0093763
                     65,                0.42058,                  0.411,                0.89007,                0.99368,                0.99242,                0.99011,                0.80272,                0.55951,                0.36176,                0.89848,              0.0093664,              0.0093664,              0.0093664
                     66,                0.42441,                0.42116,                0.89705,                0.99618,                0.99242,                0.99204,                0.81294,                0.52656,                0.32778,                0.89354,              0.0093565,              0.0093565,              0.0093565
                     67,                0.41394,                0.38089,                0.89759,                0.99712,                0.99242,                0.99243,                0.84272,                0.49127,                0.38207,                0.88303,              0.0093466,              0.0093466,              0.0093466
                     68,                0.41111,                0.38675,                0.88697,                 0.9958,                0.99242,                0.99384,                0.82043,                0.50889,                0.34236,                0.89696,              0.0093367,              0.0093367,              0.0093367
                     69,                0.40388,                0.37771,                0.88977,                0.99629,                0.99242,                0.99471,                 0.8196,                0.52556,                0.34603,                0.89272,              0.0093268,              0.0093268,              0.0093268
                     70,                0.42039,                0.37639,                0.88375,                0.99538,                0.99932,                  0.995,                0.82488,                0.50891,                0.40527,                0.88649,              0.0093169,              0.0093169,              0.0093169
                     71,                0.40226,                0.40124,                0.89249,                0.99639,                0.99187,                0.99413,                0.82665,                0.48223,                0.31221,                0.88492,               0.009307,               0.009307,               0.009307
                     72,                0.39567,                0.37517,                0.89317,                0.99496,                0.99172,                0.99452,                0.83187,                0.48565,                0.30709,                0.88563,              0.0092971,              0.0092971,              0.0092971
                     73,                0.39202,                0.37242,                0.88729,                0.99584,                0.99186,                0.99471,                0.82789,                0.48591,                0.30872,                0.88553,              0.0092872,              0.0092872,              0.0092872
                     74,                0.42303,                0.37798,                0.88529,                0.99813,                0.99058,                0.99465,                0.80913,                0.52748,                0.42691,                0.89071,              0.0092773,              0.0092773,              0.0092773
                     75,                0.40649,                0.39238,                0.87584,                0.99631,                0.99163,                0.99196,                0.84139,                0.46669,                0.31087,                0.88181,              0.0092674,              0.0092674,              0.0092674
                     76,                0.39852,                0.37161,                0.88539,                0.99632,                0.99181,                0.99126,                0.82156,                0.53143,                0.33345,                0.90148,              0.0092575,              0.0092575,              0.0092575
                     77,                0.41025,                0.36529,                0.88219,                0.99562,                0.98485,                0.98996,                 0.8187,                0.50972,                0.32484,                0.88825,              0.0092476,              0.0092476,              0.0092476
                     78,                0.41068,                0.36942,                 0.8942,                0.98875,                0.99242,                0.98993,                0.80639,                0.55121,                0.31769,                0.89394,              0.0092377,              0.0092377,              0.0092377
                     79,                0.39647,                0.40594,                0.88351,                0.99826,                0.99159,                0.99148,                0.83044,                0.49114,                0.35432,                0.88887,              0.0092278,              0.0092278,              0.0092278
                     80,                0.39907,                 0.3833,                0.88038,                0.99558,                0.99242,                0.99016,                0.83193,                0.43989,                0.29691,                0.88074,              0.0092179,              0.0092179,              0.0092179
                     81,                 0.3852,                0.37439,                 0.8805,                0.99566,                0.99242,                0.99017,                0.81374,                0.52896,                0.33123,                0.89295,               0.009208,               0.009208,               0.009208
                     82,                0.40313,                0.39217,                0.89175,                 0.9965,                0.99184,                0.99182,                0.82178,                0.50615,                0.32017,                   0.89,              0.0091981,              0.0091981,              0.0091981
                     83,                0.38396,                0.34752,                0.87909,                0.99664,                0.99242,                0.99206,                 0.8389,                0.48177,                0.32794,                0.88935,              0.0091882,              0.0091882,              0.0091882
                     84,                0.39832,                0.35081,                0.88869,                0.99715,                0.99242,                0.99367,                0.83332,                0.47099,                0.30758,                0.88568,              0.0091783,              0.0091783,              0.0091783
                     85,                  0.389,                 0.3592,                0.88435,                0.99735,                0.99242,                0.99206,                0.84257,                0.46057,                 0.2986,                0.88194,              0.0091684,              0.0091684,              0.0091684
                     86,                0.38054,                0.34761,                0.89227,                0.99613,                0.99242,                0.99018,                0.82002,                0.49681,                0.31277,                0.88697,              0.0091585,              0.0091585,              0.0091585
                     87,                0.39669,                 0.3803,                0.89094,                 0.9956,                0.99242,                0.99097,                0.82527,                0.49318,                 0.3829,                0.88583,              0.0091486,              0.0091486,              0.0091486
                     88,                0.38468,                0.34286,                0.88574,                0.99512,                0.99242,                0.99014,                0.82935,                0.44134,                0.29536,                0.88066,              0.0091387,              0.0091387,              0.0091387
                     89,                0.39212,                0.36219,                0.87959,                0.99619,                0.99242,                0.99015,                0.84148,                 0.5049,                0.30711,                0.89174,              0.0091288,              0.0091288,              0.0091288
                     90,                 0.4061,                0.36294,                0.89471,                0.99541,                0.99242,                 0.9902,                0.82892,                0.49957,                0.35505,                 0.8845,              0.0091189,              0.0091189,              0.0091189
                     91,                0.37334,                0.37444,                0.86614,                0.99599,                0.99242,                0.99027,                0.82625,                0.52202,                 0.3177,                0.89266,               0.009109,               0.009109,               0.009109
                     92,                0.38127,                  0.344,                0.88312,                0.99683,                0.99242,                0.99145,                0.84073,                0.43937,                0.29027,                 0.8776,              0.0090991,              0.0090991,              0.0090991
                     93,                0.38856,                0.34404,                0.88378,                0.99614,                0.99242,                0.99023,                0.83889,                0.46358,                0.28503,                0.88104,              0.0090892,              0.0090892,              0.0090892
                     94,                0.38807,                0.35001,                0.88053,                0.99732,                0.99242,                 0.9903,                  0.821,                0.48331,                0.29457,                0.88758,              0.0090793,              0.0090793,              0.0090793
                     95,                0.37148,                0.35723,                0.88456,                 0.9964,                0.99242,                0.99022,                0.83078,                0.50311,                0.31161,                0.89334,              0.0090694,              0.0090694,              0.0090694
                     96,                0.39489,                0.36103,                0.88185,                0.99653,                0.99242,                0.99082,                0.84259,                0.46594,                0.31843,                0.87763,              0.0090595,              0.0090595,              0.0090595
                     97,                0.39299,                0.37052,                0.88889,                0.99696,                0.99242,                0.99297,                0.82115,                0.54419,                0.34845,                 0.8895,              0.0090496,              0.0090496,              0.0090496
